,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,zip_code,company_response,timely_response,consumer_disputed
64000,Credit card,,APR or interest rate,,"I have a charge account that is control by Wels Fargo where I had a balance of XXXX and a XXXX charge of interest had been added to the account. I have not been receiving the bills and I have been telling them that as well. Every time I talked to them they said my address has been corrected and I still never received my bill. Now that they say the terms have passed they say I owe the total amount of interest on the account. I tried to explain this to them but they did not care. They said it was my fault and that I owe them the money. I have paid the remaining balance the XXXX. I do n't know what to do, this seems like it is fraudulent on their part. How can XXXX be add to an account with a balance of XXXX?  ",Wells Fargo & Company,TX,77000.0,Closed with monetary relief,Yes,
64001,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,"XXXX XXXX XXXX repeatedly called me harrassing me about payment of my mortgage loan even after I repeatedly told them I was working to modify my loan. They called dozens and dozens of times and I understand that this is not allowed under current laws. They strung me along for over 3 years, repeatedly asking for more and more information to modify my loan. Then when it would seem to be nearing a point where loan would be modified, they sold the loan to another company, which told me I would need to start the process all over again with new and updated information. My loan is currently held by SLS Mortgage which raised my mortgage rate to 6.675 % with only one week notice. I am now unable to afford my mortgage and they have advised that I will suffer foreclosure if I can not pay my mortgage. I have exhausted all of my savings and sold everything I possibly can to continue to make mortgage payments in full and on time. In order to keep my home, I need immediate help to modify my loan to an affordable interest rate, and I do n't think this is too much to ask since rates are now aroung 3 % and they are charging me 6.675 %, clearly a predatory rate. I am a widow of a XXXX veteran. Never did I or my husband ever imagine I would be in this position at XXXX years of age. I am frustrated and fearful beyond imagination that I will lose my home. Please please help me in any way you can. Sincerely, XXXX XXXX  ",Specialized Loan Servicing LLC,TN,37300.0,Closed with explanation,Yes,
64002,Credit card,,Other,,"I have a promotional balance on my credit card with a 0 % interest rate that stemmed from a promotional check written XX/XX/XXXX. On XX/XX/XXXX I made a purchase for {$340.00} and on XX/XX/XXXX for {$6.00}. On XX/XX/XXXX I made a payment of {$650.00}, which is well over my purchase amount and minimum payment of {$69.00}.  XX/XX/XXXX statement closedXX/XX/XXXX {$4.00} interest chargedAccording to them they charge interest from the day the transaction posts until it is paid off. Also according to them, minimum payments are applied first to the lowest interest balance ( in my case 0 % ) and then any payment amount over the minimum is applied to the highest interest balance ( my purchase balance ). They state payments are posted the day they are received. After my above payment, my opening daily balance subject to interest on XX/XX/XXXX should have been XXXX. I have had issues since. I have made numerous calls, gone to numerous branches, and sent numerous emails. I have requested a list of my daily balances like all my other credit card companies provide. This was their response : '' At this time, we can provide you the formula used to calculate interest and a copy of your billing statements showing the outcome. We do not have specific criteria with numerical data as this is an automated billing process. As required though, in your monthly billing statement, we do specify your balance subject to interest, the corresponding Annual Percentage Rate ( APR ) and the amount of interest charges billed to the account. "" XXXX From Chase : '' To calculate your balance subject to the interest rate, we start with any balance carried over from the previousday and add new charges or fees then SUBTRACT NEW PAYMENTSor credits. This gives us the daily balance for one day. "" "" Next, we add together the daily balances for all days inthe billing period and divide this total by the number ofdays in the period. This gives the balance subject to theinterest rate for the billing period. "" Adding together my daily balances = {$8100.00} / 31 days in billing period = {$260.00} ( bal sub to interest rate ) 1. 15.24 ( interest rate ) / XXXX = XXXX. XXXX x XXXX = XXXX. XXXX x {$260.00} = XXXX. XXXX / XXXX = {$3.00} interest for that statement. ( I was charged {$4.00} ) Statement XX/XX/XXXX to XX/XX/XXXX : Daily purchase balance subject to interest rate is XXXXfor all days not listed, since all purchases should havebeen paid off as outlined above.  XX/XX/XXXX XXXX ( purchase XXXX + purchase XXXX ) XXXX XXXX XXXX XXXX XXXX ( CASH PAYMENT IN BRANCH {$2400.00} ) XX/XX/XXXX XXXX ( bal subject to interest rate ) XXXX XXXX ( purchase ) XXXX XXXX XXXX XXXX XXXX ( payment posted {$700.00} ) I already paid myminimum payment so this entire payment should have gone tothe purchase balance of {$450.00} on XX/XX/XXXX, the remaindertowards the 0 % balance ) Interest for that statement:XX/XX/XXXX-XX/XX/XXXX daily bal was XXXX x 4 days = XXXXXX/XX/XXXX-XX/XX/XXXX daily bal was XXXX x 4 days = XXXX + XXXX = XXXX / 30 days in billing cycle = {$190.00} bal subject to interest1. 15.24 interest rate / XXXX = XXXX. XXXX x 30 days in billing cycle = XXXX. XXXX x {$190.00} = {$240.00}. {$240.00} / XXXX = {$2.00} interest for that statement. Iwas charged {$10.00}.   Statement XX/XX/XXXX to XX/XX/XXXX : The only transaction the whole cycle was a payment on XX/XX/XXXX for {$510.00}. ( I was charged {$19.00} interest for this period in which I had NO PURCHASES meaning XXXX DAILY BALANCE. This is when I was told I was charged interest because of double billing cycles. ) Statement from XX/XX/XXXX to XX/XX/XXXX : I was charged {$12.00} in interest, no purchases for two cycles.XX/XX/XXXX payment of XXXX.  Statement from XX/XX/XXXX to XX/XX/XXXX : Charged {$5.00} in interest, no purchases for three cycles now. XX/XX/XXXX payment of XXXXAccording to their stated formula, they have been applying my payments wrong and refusing to fix it.  ",JPMorgan Chase & Co.,IL,61500.0,Closed with explanation,Yes,
64003,Credit reporting,,Incorrect information on credit report,Account terms,"I went to XXXX Hospital in XXXX ND and had XXXX XXXX XXXX XXXX XXXX Insurance that was entered at check in and I paid my required co-pay payment. Not long after, I received a hard inquiry on my Experian credit report from XXXX as well as a collection account. I tried for days to contact billing to no avail, I then contacted the administrator of the hospital and was told due to the XXXX XXXX at this time, every business in this county was suffering some sort of issues, be it staffing, hours, etc which made perfect sense having seen the chaos here XXXX hand. ( I urge you to look that up XXXX I explained that all my contact info was in their system and i had been seen by them, charged by them and used my insurance, etc since then and prior to this reported collection and was never told about it or made aware of any debt owing. The only response I got was just call XXXX about the matter. So I call XXXX and they could not provide me any proof whatsoever of a letter, a phone call or any correspondence on earth regarding this debt and just put it straight on my credit. A collection for {$310.00} went on my credit and I paid it promptly in full but could get no answers or cooperation regarding the debt. I never entered in to any agreement, terms, etc with XXXX as I only come to know of this matter once it appeared on my credit monitoring service. I feel no attempt was ever made, no phone call ever was placed to me, no letter was sent that they can provide proof of, etc. There has been some time since all this has transpired but I am hearing more and more stories here in XXXX of XXXX pulling this same stunt on all the out of town XXXX that have flooded this quite little town which I find unfair and perhaps dirty tactics as apparently the locals get bills in the mail and phone calls from this local gentleman that runs this local collection company. I also see on my Experian report that the collection now shows CHARGED OFF for XXXX 2014 which has changed. This account was not charged off. There were no terms or agreements or CHARGE OFFS. There was no contact from XXXX for this debt. This debt was paid in full by me after no cooperation from XXXX to understand why it even ended up on my report. I want this removed and this inquiry of XXXX removed as well. Should it not have been a soft inquiry or no inquiry at all seeing I had no knowledge of this company based on the methods they used which I feel are dirty tactics. Experian has been very poor with assisting me with errors they have had to correct more than once despite countless hours spent trying to deal with them about past errors. Since I am no lawyer or important person I guess they can just do what they want or tell me nothing can be done and the list of unhelpful events grows with them. THEY ARE NOT USING DUE DILIGENCE IN INVESTIGATING MY ERRORS! Its not like I am a bum that does not pay his bills and I just want it to magically disappear. There are other errors as well that I have just sent them yet another letter about that the other bureaus have corrected, but not Experian. I will file another complaint when I receive there response of no action taken because no action will be taken from my experience. This is just wrong and something should be done about it.  ",Experian,ND,58800.0,Closed with non-monetary relief,Yes,
64004,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,"I have contacted Rash Curtis & Associates on 5 separate occasions about XXXX accounts, I dispute having knowledge of, that they have placed on my credit.   I am referring to accounts numbers XXXX and XXXX. I find it immensely frustrating that they will not acknowledge my complaint/dispute however they continue to discuss the matter with the credit bureaus and have advised them that the accounts belong to me when they do n't!!  ",Rash Curtis and Associates,TX,77300.0,Closed with explanation,Yes,
64005,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,"I have been in contact with Equifax for the past 2 weeks in regards to accessing my credit report. My bank, as well as myself am unable to pull the Equifax file and I am also unable to access my personal credit report through my paid monitoring service. I was informed that it is due to too many soft inquiries and was informed "" nothing could be done ''. This is completely unacceptable. I need these soft inquiries purged in order to be able to access my report. Please help!  ",Equifax,GA,30300.0,Closed with explanation,Yes,
64006,Credit card,,Delinquent account,,"I am being called by USAA credit card services XXXX times a day regarding a credit card debt. They call on weekends, Holidays, and sometimes at XXXX at night.  ",USAA Savings,CA,87500.0,Closed with non-monetary relief,Yes,
64007,Credit reporting,,Incorrect information on credit report,Account terms,"I was in a car accident in XXXX and my car was totaled. the insurance company, XXXX, issued full payoff in XXXX. XXXX XXXX XXXX XXXX reported XXXX more on time payments and then late payments and charge off / collections for more than XXXX years after. i disputed the account in transunion and they will not accept the letter from the insurance company that acknowledges the payoff. i can not get anyone to fix this mistake. the account was not a charge off and how can there be XXXX on time payments after the final payment date.\?  ","TransUnion Intermediate Holdings, Inc.",OH,45200.0,Closed with non-monetary relief,Yes,
64008,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"Good Evening, Hi my name is XXXX XXXX, I leased apartment # XXXX through XX/XX/2015-XX/XX/2015 at XXXX XXXX in XXXX , Texas . I tried to apply at XXXX XXXX in XXXX XXXX, Texas and was informed that I had a broken lease from XXXX XXXX XXXX after investigating this what I found out.    I gave a 30 day notice to XXXX XXXX XXXX XXXX/XXXX/2015 after I gave my notice I looked into a XXXX bed room unit at XXXX XXXX XXXX and gave them a {$150.00} transfer fee XX/XX/XXXX, before my move out date XXXX/XXXX/2015 I contacted XXXX and informed XXXX ( manager ) that I can not move into the XXXX bedroom XXXX ( manager ) then advised me ( XXXX ) that I would not get my {$150.00} back if I decided that I did n't want the apartment. I moved out of my apartment XXXX/XXXX/2015 as I was supposed to do. XXXX XXXX XXXX is now telling me that I have a broken lease because I did not give them a second 30 day notice. XXXX XXXX XXXX kept my money like they stated but then charged me {$550.00} for Insufficient Notice. I do n't see the reason to give another 30 day notice. There is no way that could work because based off that 1st 30 day notice you all could actually lease that XXXX bed room. I never filled out a lease or anything for that XXXX bed room. At this point I do n't think I was supposed to be charged XXXX for Insufficient Notice, because I strongly believe it 's not right, especially if I never signed any documents stating on that XXXX bed room.   I contacted the collection agency and they refuse to get the issue resolved correctly. The collection agency stated the collection is valid even though I have evidence showing that it is fraud.  ","Blakely-Witt and Associates, Inc.",TX,75100.0,Closed with explanation,No,
64009,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I have received numerous debt collection calls from Midland Credit Mgt. XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX, California XXXX. Collection Agency blocks their name on caller id ( shows as private caller ). I located the business name by using on-line acct management tools provided by my the telephone company. I informed this company that the person they are asking for is unknown to me. I also informed them they are violating telephone consumer protection act by blocking caller ID. I then spoke with a supervisor and demanded they remove my phone number from their system and cease and desist calling the number as I am not the debtor. I continue to receive calls from this company with blocked caller ID. Last call received XX/XX/XXXX was from an abusive representative who said she did n't care that I asked not to be called and she was breaking no laws. She hung on me when I asked to speak with a supervisor.  ",Encore Capital Group,PA,19000.0,Closed with non-monetary relief,Yes,
64010,Consumer Loan,Vehicle lease,Managing the loan or lease,,"On XX/XX/XXXX, I entered into a 36 month lease for a Acura MDX at {$500.00} per month. Included in the lease was the Ohio sales tax of {$1200.00}, which was amortized over the life of the lease in the {$500.00} payment. On XX/XX/XXXX I extended the lease XXXX months, and was required to make an up front payment of {$190.00} for the Ohio sales tax on the extension. As the {$1200.00} sales tax was amortized over the original lease term, my payment should have been reduced by the portion of the {$500.00} going to pay off that obligation, that amount would be approximately {$36.00} per month.  When I called Acura Financial Services I was told they would not correct this inequity.  My last conversation was on XX/XX/XXXX with XXXX XXXX who told me they would do nothing for me.  ",American Honda Finance Corporation,OH,45000.0,Closed with monetary relief,Yes,
64011,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"I moved from XXXX to XXXX in XXXX of XXXX. This debt has n't been paid since XXXX. Charge off date was XXXX/XXXX/XXXX. A collection agency purchased this debt. A judgement was issued on XXXX/XXXX/XXXX. I was n't notified of a hearing for this. I filed for bankruptcy in XXXX. The debt collector never responded to the court about requesting payment. On XXXX/XXXX/XXXX another collection agency purchased this judgement, this is the 3rd purchase of this old debt. They are now trying to collect this debt. This debt was given a chance to be part of my bankruptcy. I 'm now receiving only Social Security XXXX as my only source of income. I have no assets except for my XXXX, no cars, home ect. This credit card debt XXXX.How long can this be perused?  ","Frontline Asset Strategies, LLC",MO,63300.0,Closed with explanation,Yes,
64012,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"I have a mortgage with Seterus inc. that has been modified about 5 years ago.  Seterus inc. has worked with me when I needed the most and I truly appreciate it, but they had become my worst nightmare after they started making various mistakes in handling my mortgage correctly and effective.  They first made a mistake in applying money to my escrow, they raised my payment saying I did n't have enough money in the escrow account to cover insurance and taxes.  I found that odd, cause I new how much I had to pay a month to take care of that and they were charging me a lot of time and money.  After months and many hours on the phone trying to get them to fix my escrow, they finally did it and I was able to get my payment to where it was supposed to be.  After they fixed the escrow, they began telling me that my mortgage was late for a month and stated charging me a late fee every month.  I have told them in dispute letters many times that I am not late on my payments and that I have all my receipts to prove it.  They keep telling me that I am late since XXXX and I have not paid the XXXX installment.  I have the confirmation number and the bank statement to prove that they have received the payment.  Please help me fix this problem as I think they are doing this on purpose based on the fact that I have filled for bankruptcy right after the modification and have failed to reaffirm the loan by the due date and now I feel like a deer that is being held by the neck by a lion that is just waiting for my last breath.  After all the mistakes and because the mortgage not being reported to my credit, I find myself "" stuck '' with this bank.  I looked into refinancing now that I am getting back on my feet, but I was told by one of the institutions to file this complaint and have this fixed before I could try to get refinanced and get rid of Seterus inc .  ","Seterus, Inc.",FL,33000.0,Closed with explanation,Yes,
64013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,I filed for Chapter XXXX bankruptcy and XXXX was aware of the debt. I disputed the amount owed and XXXX would not reduce the amount to the correct amount.   I never received further communication nor did I receive any communications from Allied Collection agency to review the bill as well as dispute the amount. They posted the account open on XXXX XXXX 2015 yet never notified me. I only found out today because my score dropped almost XXXX points which was a XXXX credit score and now is a XXXX - ruining my credit and defaming my name.  ,"Allied Collection Services, Inc. (Nevada)",MI,48000.0,Closed with explanation,Yes,
64014,Credit reporting,,Incorrect information on credit report,Personal information,"I have not ever had the last name of "" XXXX '' that is my wife 's former husbands last name!  ",Equifax,NC,28900.0,Closed with explanation,Yes,
64015,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,Nationstar acting as the Servicer of this mortgage has failed to meet all of its requirements under HBOR and is attempting to illegally foreclose on my personal home by selling it at auction on XXXX/XXXX/2015. The direct violation of HBOR law is based on Nationstar Mortgage improperly and unfairly reviewing my loan modification request for relief. i have submitted a complete loan modification direct via fax and have been forced to resubmit the same package several times and i never get a single person to answer my questions honestly or directly. They always have hundreds of people pass of the file amongst each other just to create motion and delays. i intend to keep my home and i meet all eligibility criteria. they have never offered any help or relief and continue to threaten to take my home. Nationstar Mortgage instructed and allowed the Foreclosure Trustee named XXXX\ XXXX XXXX to illegally start foreclosure on my property. The Nationstar Mortgage and know your options website gave the result that i am eligible for a loan modification with a lower payment to save my property. So there is no reason why Nationstar should have denied my request or started foreclosure on my home.  ,Nationstar Mortgage,CA,92500.0,Closed with explanation,Yes,
64016,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"We recently contacted Green light and Mortgage to refinance our current mortgage went through the options available to us we choice the option that best suited our needs. XXXX XXXX provided us with new loan document and contract and in the contract the follow disclosure was made and I quoteThe locked rate you were quoted, and our rate lock agreement is contingent upon you signing and returning required document within 5 BUSINESS DAYS of receipt.   If we do not receive the required documents within 10 BUSINESS DAYS of receipt, we will be unable to proceed with your application and it will be cancelled. After this time, you will be required to re-apply and start over.    We return the signed loan document and contract XXXX/XXXX/2015 through XXXX on XXXX day from the time we initially received them from XXXX XXXX and on the XXXX we sent declaration page and XXXX mortgage document 3 business days from the when we initially received them XXXX XXXX. I call XXXX XXXX and was informed our contract was cancel we did not meet the requirement s set forth ion XXXX page of the disclosure and were expected to pay more interest.   We met the required obligation within the time frame specified in the disclosure page within the specified business days. In fact today would be the 10th business day of the agreement today.   While I can understand policy and procedures we meet the requirements but then to be treated in condescending way from XXXX XXXX put me over the edge I am filing a complaint a against Greelight Mortgage with AZG, HUD, FTC.   We meet the requirements set forth by Green Light Mortgage it is Green Light Mortgage that 's failed to honor their agreement with us  ",Nationstar Mortgage,AZ,85200.0,Closed with explanation,Yes,
64017,Credit reporting,,Incorrect information on credit report,Public record,I filed a chapter XXXX bankruptcy XX/XX/XXXX. It should 've been removed XX/XX/XXXX with Equifax credit reporting agency. But it has not. The chapter XXXX bankruptcy has been removed from XXXX and XXXX reporting agency. I contacted Equifax to have it removed they told me it stays on 10 years there because they are not state regulated but federal. I want this off of my report immediately. I want to file formal complaint with CFPB  ,Equifax,MN,55300.0,Closed with explanation,Yes,
64018,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,I started to buy a house and was given a contract that did not list the accurate address of the contract. My mortgage broker requested that the contract be fixed on XXXX/XXXX/15. I had requested several times before and after the XXXX via email and through my realtor and mortgage broker to the attorney representing the seller for my escrow check to be returned. I also lost my job and have sent them a termination letter and a mortgage denial letter for all of these reasons and they now say that I have delayed the process. They do not respond now. The contract was not legal and the seller refuses to terminate the incorrect contract.  ,Real Property Title Group LLC,FL,33100.0,Closed,Yes,
64019,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I called Telecheck on Friday XX/XX/XXXX & spoke to XXXX. I explained that we had unplugged our XXXX machine at the close of business on XX/XX/XXXX. At that point we stopped processing check payments electronically the equipment had been returned & our lease had been cancelled & settled.  I was advised to notify them by fax that I was cancelling our service. The statement I had received indicated that it covered the XX/XX/XXXX through the XX/XX/XXXX billing period. It showed that they intended to withdraw {$10.00} from my bank account on XX/XX/XXXX. Since their services were not utilized in this time frame, I respectfully requested that they cancel this transaction. They did not cancel the transaction and the charge went through for the XX/XX/XXXX cycle although their sevices were not used in XX/XX/XXXX.  I then received an invoice for the period of XX/XX/XXXX-XX/XX/XXXX. I immediately called and spoke to XXXX. She explained that our cancellation, although submitted and received on XX/XX/XXXX, was not affective for thirty days from submission. She advised that our cancellation order was not applicable until XX/XX/XXXX. I explained to her that their services were not utilized during XX/XX/XXXX and that this is an unethical business practice. I advised that I would be reporting this practice to the Consumer Financial Protection Bureau for their investigation. I then contacted our bank and stopped the withdrawal for payment of this invoice.  I have now received another invoice for XX/XX/XXXX-XX/XX/XXXX including additional fees. I have mailed a letter to Telecheck advising of what has transpired and that this invoice will not be paid. I have attached copies of the relevant correspondence.  ",First Data Corporation,WV,26000.0,Closed with monetary relief,Yes,
64020,Credit card,,Delinquent account,,"XXXX XXXX XXXX XXXX XXXX, CA - XXXX XXXX/XXXX/XXXX Capital One XXXX XXXX XXXX, XXXX, VA XXXX RE : CFPB CASE # XXXX - Respond not a Fair Enough Capital One Account # XXXX Dear Capital One, I am not happy your response which I received and I feel like your bank treated me very unprofessionally and I feel like always discrimination.  Your Bank approved XXXX/XXXX/XXXX removed XXXX late payment all major credit agencies .I have a evidence response from XXXX . ( I attached hard copy your reference ) Response ( XXXX CFPB Case number : XXXX ) We have reviewed your complaint along with the information you previously provided regarding this issue. In response to your request on XXXX/XXXX/XXXX, we initiated an investigation with Capital One # XXXXand they removed the late payment reporting XXXX. However, we received another request on XXXX/XXXX/XXXX to investigate Capital One # XXXX. In response, they re-added the late payment for XXXX. After reviewing the activity on your file, along with the information in our data base, we have removed the late payment reporting XXXX and taken precautionary measure to prevent the late payment from reporting in the future. You may wish to contact Capital One directly to ensure the account is reporting accurately in their database.   On XXXX XXXX XXXX Completely deleted on my credit file.  After seen my XXXX report still remains late payments XX/XX/XXXX.on XXXX XXXX XXXX I requested to removed that late payment XXXX via CFPB ( case # XXXX ) .your bank response was they accurate information reported. ( Response attached ) So after that your bank reported to re -added on XXXX my credit file on XXXX can clearly understood your bank treated me very different way and this is discrimination.  XXXX already deleted and in future no more late payment on XXXX. So why your bank not help me out to delete XXXX late payment XXXX Please consider all facts and due to maintain good XXXX accounts capital one ( Last XXXX # XXXX / XXXX ) Please removed XXXX late payment XXXX account number ending XXXX.   Really Appreciated Thanks XXXX XXXX XXXX XXXX  ",Capital One,CA,91500.0,Closed with explanation,Yes,
